"","Isolate","Genotype","State","isotype","Height.cm.","X.Cankers","canker.cm","DS"
"156","MN-23","Besc234","Minnesota","MN-23--Besc234--Minnesota",52.25,6.5,0.124563814704436,4
"157","MN-23","Besc400","Minnesota","MN-23--Besc400--Minnesota",41.125,2.5,0.0601237842617155,4
"158","MN-23","CMBF28-1","Minnesota","MN-23--CMBF28-1--Minnesota",45.875,4.75,0.100937081659973,4
"159","MN-23","GW11026","Minnesota","MN-23--GW11026--Minnesota",42.375,4.75,0.110167707655453,4
"160","MN-23","GW9823","Minnesota","MN-23--GW9823--Minnesota",41.75,2.75,0.0590702947845807,4
"161","MN-3","Besc234","Minnesota","MN-3--Besc234--Minnesota",37.425,3.5,0.0962368606623037,4
"162","MN-3","Besc400","Minnesota","MN-3--Besc400--Minnesota",45.275,9.5,0.199553090641616,2
"163","MN-3","CMBF28-1","Minnesota","MN-3--CMBF28-1--Minnesota",32.475,1.25,0.0399377173825125,3
"164","MN-3","GW11026","Minnesota","MN-3--GW11026--Minnesota",31.625,2,0.0641045271270353,4
"165","MN-3","GW9823","Minnesota","MN-3--GW9823--Minnesota",37.725,3,0.0746268656716418,1
"166","MN-30","Besc234","Minnesota","MN-30--Besc234--Minnesota",54.8333333333333,5,0.0948731983214743,4
"167","MN-30","Besc400","Minnesota","MN-30--Besc400--Minnesota",47.75,3,0.061675616812557,4
"168","MN-30","CMBF28-1","Minnesota","MN-30--CMBF28-1--Minnesota",49.25,7.5,0.152648938363224,4
"169","MN-30","GW11026","Minnesota","MN-30--GW11026--Minnesota",38.5,7.25,0.186508346602832,4
"170","MN-30","GW9823","Minnesota","MN-30--GW9823--Minnesota",37.75,8.5,0.226547004394313,4
"171","MN-31","Besc234","Minnesota","MN-31--Besc234--Minnesota",40.6666666666667,6,0.151430970750763,4
"172","MN-31","Besc400","Minnesota","MN-31--Besc400--Minnesota",47.75,8.25,0.182371794871795,4
"173","MN-31","CMBF28-1","Minnesota","MN-31--CMBF28-1--Minnesota",42.875,5.5,0.126841298451898,4
"174","MN-31","GW11026","Minnesota","MN-31--GW11026--Minnesota",41.625,7.75,0.187872365256342,5
"175","MN-31","GW9823","Minnesota","MN-31--GW9823--Minnesota",37.75,13.25,0.328883055791858,4
"176","MN-32","Besc234","Minnesota","MN-32--Besc234--Minnesota",40.3333333333333,9,0.217478397285544,4
"177","MN-32","Besc400","Minnesota","MN-32--Besc400--Minnesota",38.25,6.25,0.162236237534025,4
"178","MN-32","CMBF28-1","Minnesota","MN-32--CMBF28-1--Minnesota",48,11.5,0.255382501145213,4
"179","MN-32","GW11026","Minnesota","MN-32--GW11026--Minnesota",44,10,0.217998483290719,4
"180","MN-32","GW9823","Minnesota","MN-32--GW9823--Minnesota",35.375,2.5,0.0645776195499297,4
"181","MN-33","Besc234","Minnesota","MN-33--Besc234--Minnesota",35.875,4.75,0.132792572604286,5
"182","MN-33","Besc400","Minnesota","MN-33--Besc400--Minnesota",42.375,3.25,0.0772954990358077,4
"183","MN-33","CMBF28-1","Minnesota","MN-33--CMBF28-1--Minnesota",46.5,8,0.170303533366125,4
"184","MN-33","GW11026","Minnesota","MN-33--GW11026--Minnesota",42.125,5,0.113469474376337,4
"185","MN-33","GW9823","Minnesota","MN-33--GW9823--Minnesota",43.125,7.75,0.17314739688979,4
"186","MN-4","Besc234","Minnesota","MN-4--Besc234--Minnesota",37.875,16.5,0.42687633005346,5
"187","MN-4","Besc400","Minnesota","MN-4--Besc400--Minnesota",42.375,9.75,0.230061700645373,4
"188","MN-4","CMBF28-1","Minnesota","MN-4--CMBF28-1--Minnesota",35.775,6.5,0.176972594103836,4
"189","MN-4","GW11026","Minnesota","MN-4--GW11026--Minnesota",32.3,8.75,0.258341091499421,4
"190","MN-4","GW9823","Minnesota","MN-4--GW9823--Minnesota",38.225,12,0.301573669312383,4
"191","MN-5","Besc234","Minnesota","MN-5--Besc234--Minnesota",37.45,13.25,0.335331487830321,4
"192","MN-5","Besc400","Minnesota","MN-5--Besc400--Minnesota",43.2,8,0.189463873309139,4
"193","MN-5","CMBF28-1","Minnesota","MN-5--CMBF28-1--Minnesota",36.625,2.5,0.0774007038712922,1
"194","MN-5","GW11026","Minnesota","MN-5--GW11026--Minnesota",34.05,1.25,0.0388786560508917,3
"195","MN-5","GW9823","Minnesota","MN-5--GW9823--Minnesota",40.225,3.5,0.0935753081654403,4
"196","MN-6","Besc234","Minnesota","MN-6--Besc234--Minnesota",83.9125,13.75,0.339634621517435,5
"197","MN-6","Besc400","Minnesota","MN-6--Besc400--Minnesota",40.7625,4.125,0.117507705889555,4
"198","MN-6","CMBF28-1","Minnesota","MN-6--CMBF28-1--Minnesota",36.0375,1.125,0.0303381014459535,4
"199","MN-6","GW11026","Minnesota","MN-6--GW11026--Minnesota",31.65,6.625,0.213243589568094,4
"200","MN-6","GW9823","Minnesota","MN-6--GW9823--Minnesota",37.725,5.875,0.122416419664077,1
"201","MN-9","Besc234","Minnesota","MN-9--Besc234--Minnesota",33.975,14.5,0.423940977736128,5
"202","MN-9","Besc400","Minnesota","MN-9--Besc400--Minnesota",31.45,11.75,0.357246727385329,3
"203","MN-9","CMBF28-1","Minnesota","MN-9--CMBF28-1--Minnesota",32.75,4.5,0.124798003243622,4
"204","MN-9","GW11026","Minnesota","MN-9--GW11026--Minnesota",21.675,4.25,0.196564978348659,3
"205","MN-9","GW9823","Minnesota","MN-9--GW9823--Minnesota",25.275,2.75,0.116349018409594,4
"206","Nisk1","Besc234","North Dakota","Nisk1--Besc234--North Dakota",34.2,16.5,0.4791767902138,4
"207","Nisk1","Besc400","North Dakota","Nisk1--Besc400--North Dakota",34.225,6.75,0.200064423854357,4
"208","Nisk1","CMBF28-1","North Dakota","Nisk1--CMBF28-1--North Dakota",31.9,4.75,0.140899119622524,3
